modal	service	distance	km_category	route_id	capture_time	city	image_id
bicycle	bicycle	12000	13.0	355030838000198355030871000069	2020-08-02 12:47:32	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_13.0_355030838000198355030871000069_2020-08-02_12-47_1596383252.png
bicycle	bicycle	13000	13.5	355030838000198355030871000065	2020-08-02 12:54:20	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_13.5_355030838000198355030871000065_2020-08-02_12-54_1596383660.png
bicycle	bicycle	13000	14.0	355030838000198355030871000033	2020-08-02 16:50:14	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_14.0_355030838000198355030871000033_2020-08-02_16-50_1596397814.png
bicycle	bicycle	1200	2.0	355030815000030355030815000057	2020-08-02 02:11:55	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_2.0_355030815000030355030815000057_2020-08-02_02-11_1596345115.png
bicycle	bicycle	1200	2.0	355030815000030355030815000057	2020-08-02 03:16:21	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_2.0_355030815000030355030815000057_2020-08-02_03-16_1596348981.png
bicycle	bicycle	1200	2.0	355030815000030355030815000057	2020-08-02 04:16:22	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_2.0_355030815000030355030815000057_2020-08-02_04-16_1596352582.png
bicycle	bicycle	3600	4.0	355030838000198355030838000232	2020-08-02 09:44:12	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_4.0_355030838000198355030838000232_2020-08-02_09-44_1596372252.png
bicycle	bicycle	7000	7.0	355030871000079355030838000025	2020-08-02 09:51:00	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_7.0_355030871000079355030838000025_2020-08-02_09-51_1596372660.png
bicycle	bicycle	7900	8.0	355030815000030355030871000057	2020-08-02 06:29:58	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_8.0_355030815000030355030871000057_2020-08-02_06-29_1596360598.png
bicycle	bicycle	9500	8.5	355030871000079355030838000152	2020-08-02 05:36:45	sp	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_8.5_355030871000079355030838000152_2020-08-02_05-36_1596357405.png
bicycle	bicycle	700	0.5	355030838000198355030838000149	2020-08-02 01:38:26	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_0.5_355030838000198355030838000149_2020-08-02_01-38_1596343106.png
bicycle	bicycle	1200	1.5	355030838000198355030838000092	2020-08-02 03:09:25	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_1.5_355030838000198355030838000092_2020-08-02_03-09_1596348565.png
bicycle	bicycle	750	2.5	355030815000030355030815000059	2020-08-02 01:51:56	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_01-51_1596343916.png
bicycle	bicycle	1700	3.5	355030815000030355030815000002	2020-08-02 09:37:10	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_3.5_355030815000030355030815000002_2020-08-02_09-37_1596371830.png
bicycle	bicycle	4800	4.5	355030815000030355030815000078	2020-08-02 03:29:40	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_4.5_355030815000030355030815000078_2020-08-02_03-29_1596349780.png
bicycle	bicycle	4600	5.5	355030838000198355030815000063	2020-08-02 12:40:24	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_5.5_355030838000198355030815000063_2020-08-02_12-40_1596382824.png
bicycle	bicycle	5300	6.5	355030815000030355030838000122	2020-08-02 11:43:10	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_6.5_355030815000030355030838000122_2020-08-02_11-43_1596379390.png
bicycle	bicycle	7300	7.5	355030815000030355030838000198	2020-08-02 03:49:56	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_7.5_355030815000030355030838000198_2020-08-02_03-49_1596350996.png
walk	walk	7300	9.0	355030838000198355030815000094	2020-08-02 04:02:34	sp	./volume_sp/images/modal/walk_v0_836cc001_9.0_355030838000198355030815000094_2020-08-02_04-02_1596351754.png
walk	walk	7300	9.0	355030838000198355030815000094	2020-08-02 05:02:35	sp	./volume_sp/images/modal/walk_v0_836cc001_9.0_355030838000198355030815000094_2020-08-02_05-02_1596355355.png
walk	walk	7300	9.0	355030838000198355030815000094	2020-08-02 06:02:34	sp	./volume_sp/images/modal/walk_v0_836cc001_9.0_355030838000198355030815000094_2020-08-02_06-02_1596358954.png
walk	walk	7300	9.0	355030838000198355030815000094	2020-08-02 07:02:35	sp	./volume_sp/images/modal/walk_v0_836cc001_9.0_355030838000198355030815000094_2020-08-02_07-02_1596362555.png
walk	walk	7300	9.0	355030838000198355030815000094	2020-08-02 08:02:35	sp	./volume_sp/images/modal/walk_v0_836cc001_9.0_355030838000198355030815000094_2020-08-02_08-02_1596366155.png
walk	walk	7300	9.0	355030838000198355030815000094	2020-08-02 09:02:34	sp	./volume_sp/images/modal/walk_v0_836cc001_9.0_355030838000198355030815000094_2020-08-02_09-02_1596369754.png
walk	walk	650	0.5	355030838000198355030838000149	2020-08-02 01:38:20	sp	./volume_sp/images/modal/walk_v0_d1568d9c_0.5_355030838000198355030838000149_2020-08-02_01-38_1596343100.png
walk	walk	650	0.5	355030838000198355030838000149	2020-08-02 01:58:08	sp	./volume_sp/images/modal/walk_v0_d1568d9c_0.5_355030838000198355030838000149_2020-08-02_01-58_1596344288.png
bicycle	bicycle	10000	10.0	355030871000079355030838000207	2020-08-02 09:09:34	sp	./volume_sp/images/modal/bicycle_v0_836cc001_10.0_355030871000079355030838000207_2020-08-02_09-09_1596370174.png
bicycle	bicycle	10000	10.0	355030871000079355030838000207	2020-08-02 12:13:32	sp	./volume_sp/images/modal/bicycle_v0_836cc001_10.0_355030871000079355030838000207_2020-08-02_12-13_1596381212.png
bicycle	bicycle	10000	10.0	355030871000079355030838000207	2020-08-02 13:09:33	sp	./volume_sp/images/modal/bicycle_v0_836cc001_10.0_355030871000079355030838000207_2020-08-02_13-09_1596384573.png
bicycle	bicycle	9300	11.0	355030815000030355030871000083	2020-08-02 02:11:55	sp	./volume_sp/images/modal/bicycle_v0_836cc001_11.0_355030815000030355030871000083_2020-08-02_02-11_1596345115.png
bicycle	bicycle	9300	11.0	355030815000030355030871000083	2020-08-02 03:16:22	sp	./volume_sp/images/modal/bicycle_v0_836cc001_11.0_355030815000030355030871000083_2020-08-02_03-16_1596348982.png
bicycle	bicycle	9300	11.0	355030815000030355030871000083	2020-08-02 04:16:21	sp	./volume_sp/images/modal/bicycle_v0_836cc001_11.0_355030815000030355030871000083_2020-08-02_04-16_1596352581.png
bicycle	bicycle	9300	11.0	355030815000030355030871000083	2020-08-02 05:16:22	sp	./volume_sp/images/modal/bicycle_v0_836cc001_11.0_355030815000030355030871000083_2020-08-02_05-16_1596356182.png
bicycle	bicycle	9300	11.0	355030815000030355030871000083	2020-08-02 06:16:21	sp	./volume_sp/images/modal/bicycle_v0_836cc001_11.0_355030815000030355030871000083_2020-08-02_06-16_1596359781.png
bicycle	bicycle	9300	11.0	355030815000030355030871000083	2020-08-02 07:16:22	sp	./volume_sp/images/modal/bicycle_v0_836cc001_11.0_355030815000030355030871000083_2020-08-02_07-16_1596363382.png
bicycle	bicycle	9300	11.0	355030815000030355030871000083	2020-08-02 08:16:22	sp	./volume_sp/images/modal/bicycle_v0_836cc001_11.0_355030815000030355030871000083_2020-08-02_08-16_1596366982.png
bicycle	bicycle	9300	11.0	355030815000030355030871000083	2020-08-02 16:16:14	sp	./volume_sp/images/modal/bicycle_v0_836cc001_11.0_355030815000030355030871000083_2020-08-02_16-16_1596395774.png
bicycle	bicycle	9700	11.0	355030815000030355030871000085	2020-08-02 14:06:40	sp	./volume_sp/images/modal/bicycle_v0_836cc001_11.0_355030815000030355030871000085_2020-08-02_14-06_1596388000.png
bicycle	bicycle	9700	11.0	355030815000030355030871000085	2020-08-02 15:23:09	sp	./volume_sp/images/modal/bicycle_v0_836cc001_11.0_355030815000030355030871000085_2020-08-02_15-23_1596392589.png
bicycle	bicycle	2600	2.5	355030871000079355030871000022	2020-08-02 09:17:00	sp	./volume_sp/images/modal/bicycle_v0_d1568d9c_2.5_355030871000079355030871000022_2020-08-02_09-17_1596370620.png
bicycle	bicycle	2600	2.5	355030871000079355030871000022	2020-08-02 11:02:46	sp	./volume_sp/images/modal/bicycle_v0_d1568d9c_2.5_355030871000079355030871000022_2020-08-02_11-02_1596376966.png
bicycle	bicycle	2600	2.5	355030871000079355030871000022	2020-08-02 12:02:46	sp	./volume_sp/images/modal/bicycle_v0_d1568d9c_2.5_355030871000079355030871000022_2020-08-02_12-02_1596380566.png
bicycle	bicycle	1200	3.0	355030815000030355030815000028	2020-08-02 13:53:04	sp	./volume_sp/images/modal/bicycle_v0_d1568d9c_3.0_355030815000030355030815000028_2020-08-02_13-53_1596387184.png
bicycle	bicycle	1200	3.0	355030815000030355030815000028	2020-08-02 15:09:33	sp	./volume_sp/images/modal/bicycle_v0_d1568d9c_3.0_355030815000030355030815000028_2020-08-02_15-09_1596391773.png
bicycle	bicycle	1900	3.0	355030838000198355030838000049	2020-08-02 16:02:38	sp	./volume_sp/images/modal/bicycle_v0_d1568d9c_3.0_355030838000198355030838000049_2020-08-02_16-02_1596394958.png
